heart_rate,time_elapsed,distance,avg_running_cadence,total_calories,speed
143.0,486.0,1.61317,80.0,78.0,0.0033192798353909466
154.0,883.0,3.21954,80.0,82.0,0.0036461381653454133
156.0,1317.0,4.83101,80.0,89.0,0.003668192862566439
143.0,460.0,1.61227,81.0,97.0,0.0035049347826086956
155.0,891.0,3.22219,81.0,102.0,0.003616374859708193
158.0,1335.0,4.82929,81.0,108.0,0.003617445692883895
139.0,424.0,1.4448,82.0,81.0,0.0034075471698113207
151.0,689.0,2.08591,83.0,29.0,0.0030274455732946302
154.0,839.0,2.69909,82.0,36.0,0.003217032181168057
156.0,997.0,3.3395900000000003,82.0,38.0,0.003349638916750251
158.0,1160.0,4.00169,83.0,40.0,0.0034497327586206898
160.0,1319.0,4.637449999999999,82.0,39.0,0.0035158832448824863
160.0,1478.0,5.2621,82.0,39.0,0.003560284167794317
163.0,1628.0,5.86814,82.0,38.0,0.0036045085995085996
163.0,1787.0,6.49674,81.0,40.0,0.0036355567991046447
163.0,1948.0,7.12494,81.0,41.0,0.0036575667351129364
164.0,2101.0,7.72906,82.0,39.0,0.003678752974773917
95.0,2816.0,7.73612,82.0,0.0,0.0027472017045454544
154.0,2949.0,8.243219999999999,83.0,25.0,0.0027952594099694807
158.0,3092.0,8.78477,82.0,34.0,0.0028411287192755498
160.0,3240.0,9.31622,82.0,36.0,0.002875376543209876
162.0,3385.0,9.85039,83.0,36.0,0.002910011816838996
164.0,3529.0,10.38915,82.0,36.0,0.0029439359591952397
167.0,3669.0,10.91921,83.0,35.0,0.0029760724993186153
165.0,3808.0,11.44576,83.0,35.0,0.0030057142857142856
169.0,3947.0,11.97024,82.0,36.0,0.0030327438560932354
171.0,4085.0,12.50367,83.0,36.0,0.003060873929008568
177.0,4189.0,13.01513,86.0,28.0,0.003106977798997374
102.0,4677.0,13.02289,84.0,1.0,0.0027844537096429335
138.0,504.0,1.61694,80.0,95.0,0.0032082142857142856
147.0,934.0,3.22114,81.0,93.0,0.003448758029978587
153.0,1366.0,4.830220000000001,80.0,97.0,0.003536032210834554
160.0,1817.0,6.439010000000001,80.0,104.0,0.003543758943313154
159.0,2280.0,8.05133,80.0,110.0,0.0035312850877192983
141.0,2878.0,9.66193,82.0,84.0,0.003357168172341904
147.0,3421.0,11.26596,82.0,79.0,0.0032931774334989767
148.0,3887.0,12.87515,82.0,93.0,0.0033123617185490096
146.0,4372.0,14.48474,82.0,88.0,0.0033130695333943275
148.0,4851.0,16.09934,82.0,84.0,0.0033187672644815506
153.0,497.0,1.61279,82.0,109.0,0.003245050301810865
156.0,927.0,3.22171,83.0,105.0,0.003475415318230852
164.0,1343.0,4.83035,84.0,106.0,0.0035966865227103502
156.0,373.0,1.30411,82.0,65.0,0.0034962734584450404
129.0,1367.0,2.28089,80.0,51.0,0.001668536942209217
81.0,1557.0,2.2822,59.0,0.0,0.001465767501605652
167.0,1793.0,3.582,86.0,46.0,0.0019977691020635806
165.0,2218.0,4.85592,84.0,59.0,0.0021893237150586117
173.0,2644.0,6.152229999999999,83.0,60.0,0.002326864599092284
169.0,3067.0,7.448399999999999,84.0,58.0,0.0024285621128138242
157.0,3088.0,7.454569999999999,80.0,0.0,0.0024140446891191703
158.0,3575.0,7.88731,83.0,15.0,0.0022062405594405594
164.0,3667.0,8.320129999999999,82.0,19.0,0.0022689200981728932
166.0,3756.0,8.75473,82.0,22.0,0.0023308652822151225
160.0,306.0,1.0821500000000002,81.0,55.0,0.0035364379084967326
156.0,411.0,1.5068499999999998,80.0,25.0,0.0036663017031630164
147.0,620.0,2.36969,81.0,47.0,0.00382208064516129
148.0,723.0,2.7941700000000003,81.0,24.0,0.0038646887966804983
148.0,825.0,3.215,81.0,24.0,0.003896969696969697
145.0,1258.0,4.8222,81.0,98.0,0.0038332273449920504
153.0,419.0,1.61312,82.0,94.0,0.0038499284009546543
154.0,836.0,3.22131,81.0,100.0,0.0038532416267942583
153.0,1245.0,4.83508,82.0,98.0,0.0038835983935742967
155.0,1651.0,6.439229999999999,81.0,98.0,0.003900199878861296
163.0,458.0,1.61174,83.0,94.0,0.003519082969432314
142.0,945.0,3.22016,82.0,99.0,0.0034075767195767197
164.0,349.0,1.61055,83.0,86.0,0.004614756446991404
166.0,664.0,3.02797,83.0,83.0,0.00456019578313253
173.0,1014.0,4.63553,83.0,95.0,0.004571528599605522
141.0,480.0,1.61182,83.0,101.0,0.0033579583333333335
141.0,951.0,3.21938,83.0,102.0,0.0033852576235541536
136.0,491.0,1.61116,81.0,94.0,0.003281384928716904
138.0,937.0,3.22041,81.0,102.0,0.003436937033084312
151.0,1392.0,4.82967,81.0,107.0,0.0034695905172413793
149.0,1854.0,6.44024,81.0,107.0,0.0034737001078748654
140.0,443.0,1.61146,81.0,98.0,0.0036376072234762975
121.0,1484.0,3.11038,80.0,78.0,0.0020959433962264152
83.0,1784.0,3.25272,61.0,11.0,0.001823273542600897
169.0,1849.0,3.6827,94.0,10.0,0.001991725256895619
137.0,1910.0,3.75347,63.0,14.0,0.001965167539267016
169.0,1984.0,4.17984,85.0,18.0,0.0021067741935483874
132.0,2045.0,4.24622,67.0,14.0,0.00207639119804401
171.0,2116.0,4.67407,89.0,17.0,0.0022089177693761816
136.0,2177.0,4.74107,58.0,14.0,0.002177799724391364
170.0,2253.0,5.1572,86.0,19.0,0.0022890368397691964
131.0,2314.0,5.21728,70.0,14.0,0.002254658599827139
166.0,2348.0,5.423100000000001,91.0,7.0,0.0023096678023850088
149.0,2379.0,5.46517,90.0,7.0,0.002297255149222362
168.0,2414.0,5.6759,92.0,8.0,0.0023512427506213753
154.0,2444.0,5.713850000000001,52.0,7.0,0.0023379091653027827
169.0,2481.0,5.92468,86.0,9.0,0.0023880209592906086
156.0,2511.0,5.95832,63.0,7.0,0.0023728872958980484
169.0,2548.0,6.16615,86.0,9.0,0.0024199960753532182
156.0,2579.0,6.19821,77.0,7.0,0.0024033385032958513
170.0,2616.0,6.40974,87.0,9.0,0.0024502064220183486
155.0,2646.0,6.44414,87.0,7.0,0.0024354270597127738
170.0,2683.0,6.65804,86.0,9.0,0.002481565411852404
155.0,2714.0,6.69118,82.0,8.0,0.002465431098010317
170.0,2750.0,6.89558,88.0,9.0,0.0025074836363636363
158.0,2780.0,6.93737,90.0,8.0,0.002495456834532374
170.0,2817.0,7.148149999999999,88.0,9.0,0.002537504437344693
155.0,2848.0,7.18434,67.0,8.0,0.0025225912921348313
164.0,2865.0,7.28551,80.0,5.0,0.002542935427574171
158.0,2881.0,7.31089,92.0,4.0,0.0025376223533495313
165.0,2899.0,7.41196,80.0,4.0,0.0025567299068644357
162.0,2915.0,7.43538,78.0,4.0,0.0025507307032590055
167.0,2936.0,7.54874,87.0,5.0,0.0025710967302452316
162.0,2952.0,7.56865,79.0,4.0,0.0025639058265582654
166.0,2967.0,7.65284,80.0,3.0,0.002579319177620492
162.0,2982.0,7.6762299999999986,82.0,4.0,0.002574188464118041
167.0,3002.0,7.7798,75.0,5.0,0.0025915389740173217
163.0,3018.0,7.80629,76.0,4.0,0.0025865772034459906
169.0,3037.0,7.91041,77.0,4.0,0.002604678959499506
164.0,3052.0,7.93448,87.0,4.0,0.002599764089121887
169.0,3071.0,8.03879,87.0,5.0,0.002617645718007164
163.0,3087.0,8.06401,90.0,4.0,0.002612248137350178
168.0,3106.0,8.16532,86.0,4.0,0.00262888602704443
162.0,3124.0,8.194700000000001,87.0,4.0,0.002623143405889885
169.0,3142.0,8.29418,86.0,4.0,0.0026397772119669005
163.0,3159.0,8.32901,79.0,4.0,0.002636597024374802
169.0,3178.0,8.42771,76.0,5.0,0.0026518911264946507
165.0,3194.0,8.45374,72.0,4.0,0.002646756418284283
165.0,3212.0,8.543479999999999,85.0,4.0,0.0026598630136986296
161.0,3228.0,8.564440000000001,88.0,4.0,0.0026531722428748453
169.0,3246.0,8.6701,92.0,4.0,0.002671010474430068
165.0,3262.0,8.69568,89.0,4.0,0.002665751072961373
170.0,3281.0,8.80053,85.0,4.0,0.0026822706491923193
165.0,3296.0,8.82513,90.0,3.0,0.0026775273058252426
171.0,3314.0,8.92648,88.0,4.0,0.0026935666867833434
168.0,3329.0,8.94987,79.0,4.0,0.002688455992790628
170.0,3346.0,9.03891,87.0,4.0,0.0027014076509264792
164.0,3361.0,9.060709999999998,89.0,4.0,0.0026958375483487054
169.0,3379.0,9.16925,94.0,4.0,0.0027135986978395975
106.0,3646.0,9.17493,95.0,0.0,0.0025164371914426767
161.0,3735.0,9.6048,82.0,17.0,0.0025715662650602406
163.0,3831.0,10.03771,82.0,25.0,0.0026201279039415296
175.0,3865.0,10.254040000000002,90.0,9.0,0.0026530504527813715
88.0,5297.0,10.26602,84.0,0.0,0.0019380819331697185
119.0,5896.0,11.87481,80.0,76.0,0.002014045115332429
121.0,6066.0,12.31963,81.0,21.0,0.0020309314210352784
151.0,6545.0,13.93043,81.0,94.0,0.0021284079449961804
126.0,99.0,0.23059,82.0,9.0,0.002329191919191919
133.0,201.0,0.53688,81.0,17.0,0.002671044776119403
136.0,528.0,1.65637,81.0,65.0,0.003137064393939394
137.0,1052.0,3.26546,80.0,92.0,0.003104049429657795
140.0,1518.0,4.87417,82.0,92.0,0.0032109156785243742
140.0,1995.0,6.48287,82.0,85.0,0.003249558897243108
130.0,479.0,1.61302,82.0,93.0,0.003367473903966597
142.0,942.0,3.21987,81.0,94.0,0.00341812101910828
141.0,1412.0,4.82964,81.0,92.0,0.0034204249291784703
136.0,555.0,1.61116,81.0,97.0,0.002902990990990991
127.0,1066.0,3.22289,81.0,93.0,0.0030233489681050657
135.0,1649.0,4.8309,81.0,77.0,0.002929593693147362
96.0,2294.0,6.43758,80.0,91.0,0.002806268526591107
152.0,2737.0,8.04699,82.0,85.0,0.0029400767263427106
76.0,3497.0,9.31364,82.0,79.0,0.002663322848155562
